traffic_date,traffic_time,ROUTE_ID,speed_kmh,valid,rain_obs_time,rain_est_mm_1h,rain_stations_used,rain_weight_used,baseline_type,baseline_time_bin,baseline_median_kmh,baseline_p25_kmh,baseline_p75_kmh,baseline_days,baseline_label,speed_diff_kmh,speed_diff_pct
2026-09-19,21:37:00,284727,53.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.999999999999999,dow,43,59.35,59.12,59.57,2,Provisional,-5.65,-9.5
2026-09-19,21:37:00,284770,61.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,57.25,56.92,57.58,2,Provisional,4.45,7.8
2026-09-19,21:37:00,284771,60.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,56.55,56.48,56.62,2,Provisional,3.45,6.1
2026-09-19,21:37:00,284772,60.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,56.55,56.48,56.62,2,Provisional,3.45,6.1
2026-09-19,21:37:00,284773,61.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,57.25,56.92,57.58,2,Provisional,4.45,7.8
2026-09-19,21:37:00,284775,61.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,57.25,56.92,57.58,2,Provisional,4.45,7.8
2026-09-19,21:37:00,284776,61.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,57.25,56.92,57.58,2,Provisional,4.45,7.8
2026-09-19,21:37:00,284778,54.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,53.25,53.23,53.27,2,Provisional,1.65,3.1
2026-09-19,21:37:00,284779,54.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,53.25,53.23,53.27,2,Provisional,1.65,3.1
2026-09-19,21:37:00,284780,54.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,53.25,53.23,53.27,2,Provisional,1.65,3.1
2026-09-19,21:37:00,284796,26.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,39.3,38.25,40.35,2,Provisional,-13.0,-33.1
2026-09-19,21:37:00,284799,26.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,39.3,38.25,40.35,2,Provisional,-13.0,-33.1
2026-09-19,21:37:00,284801,26.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.000000000000001,dow,43,39.3,38.25,40.35,2,Provisional,-13.0,-33.1
2026-09-19,21:37:00,284802,26.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,39.3,38.25,40.35,2,Provisional,-13.0,-33.1
2026-09-19,21:37:00,284805,26.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,39.3,38.25,40.35,2,Provisional,-13.0,-33.1
2026-09-19,21:37:00,284826,45.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,46.3,46.1,46.5,2,Provisional,-0.9,-1.9
2026-09-19,21:37:00,284872,45.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,43.75,42.73,44.77,2,Provisional,1.55,3.5
2026-09-19,21:37:00,284874,51.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,49.55,49.08,50.02,2,Provisional,2.25,4.5
2026-09-19,21:37:00,284875,58.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,56.2,55.8,56.6,2,Provisional,2.1,3.7
2026-09-19,21:37:00,284885,38.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,40.35,40.03,40.67,2,Provisional,-1.85,-4.6
2026-09-19,21:37:00,284927,63.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,60.3,60.25,60.35,2,Provisional,2.9,4.8
2026-09-19,21:37:00,284929,40.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,44.5,43.75,45.25,2,Provisional,-4.5,-10.1
2026-09-19,21:37:00,284932,39.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,38.5,38.25,38.75,2,Provisional,0.5,1.3
2026-09-19,21:37:00,284946,53.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,59.35,59.12,59.57,2,Provisional,-5.65,-9.5
2026-09-19,21:37:00,284947,60.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,56.55,56.48,56.62,2,Provisional,3.45,6.1
2026-09-19,21:37:00,284948,44.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,43.4,43.25,43.55,2,Provisional,1.3,3.0
2026-09-19,21:37:00,284949,44.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,43.4,43.25,43.55,2,Provisional,1.3,3.0
2026-09-19,21:37:00,284950,44.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,43.4,43.25,43.55,2,Provisional,1.3,3.0
2026-09-19,21:37:00,284954,53.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.000000000000001,dow,43,49.55,48.98,50.12,2,Provisional,3.95,8.0
2026-09-19,21:37:00,285051,39.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,38.5,38.25,38.75,2,Provisional,0.5,1.3
2026-09-19,21:37:00,285186,30.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,23.92,17.24,30.61,2,Provisional,6.08,25.4
2026-09-19,21:37:00,285187,30.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,23.92,17.24,30.61,2,Provisional,6.08,25.4
2026-09-19,21:37:00,285410,53.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,50.35,50.12,50.57,2,Provisional,3.35,6.7
2026-09-19,21:37:00,285414,60.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,55.8,55.65,55.95,2,Provisional,4.2,7.5
2026-09-19,21:37:00,285419,50.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,50.45,50.27,50.62,2,Provisional,0.25,0.5
2026-09-19,21:37:00,285423,81.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.000000000000001,dow,43,83.0,83.0,83.0,2,Provisional,-2.0,-2.4
2026-09-19,21:37:00,285612,45.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000004,dow,43,37.85,37.17,38.53,2,Provisional,8.05,21.3
2026-09-19,21:37:00,285647,38.8,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999993,dow,43,34.33,31.19,37.46,2,Provisional,4.47,13.0
2026-09-19,21:37:00,295984,37.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,42.4,42.3,42.5,2,Provisional,-4.8,-11.3
2026-09-19,21:37:00,104324,43.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,43.5,43.5,43.5,2,Provisional,0.0,0.0
2026-09-19,21:37:00,104542,59.1,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,60.75,60.33,61.17,2,Provisional,-1.65,-2.7
2026-09-19,21:37:00,104555,62.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,60.1,59.85,60.35,2,Provisional,2.3,3.8
2026-09-19,21:37:00,104556,62.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,59.9,59.65,60.15,2,Provisional,2.4,4.0
2026-09-19,21:37:00,104569,57.4,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,59.65,59.58,59.72,2,Provisional,-2.25,-3.8
2026-09-19,21:37:00,104767,57.9,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,60.7,60.55,60.85,2,Provisional,-2.8,-4.6
2026-09-19,21:37:00,104816,55.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,58.75,58.62,58.88,2,Provisional,-2.95,-5.0
2026-09-19,21:37:00,104875,47.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,52.25,51.77,52.73,2,Provisional,-4.85,-9.3
2026-09-19,21:37:00,104972,55.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,58.6,58.4,58.8,2,Provisional,-2.9,-4.9
2026-09-19,21:37:00,104983,56.1,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,58.5,58.35,58.65,2,Provisional,-2.4,-4.1
2026-09-19,21:37:00,104991,58.9,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,57.95,57.52,58.38,2,Provisional,0.95,1.6
2026-09-19,21:37:00,104992,43.1,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,44.7,44.7,44.7,2,Provisional,-1.6,-3.6
2026-09-19,21:37:00,104993,24.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,34.05,33.98,34.12,2,Provisional,-9.75,-28.6
2026-09-19,21:37:00,105057,22.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,32.45,27.17,37.73,2,Provisional,-10.25,-31.6
2026-09-19,21:37:00,105087,39.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,49.6,49.6,49.6,2,Provisional,-10.6,-21.4
2026-09-19,21:37:00,105090,60.5,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999991,dow,43,58.0,58.0,58.0,2,Provisional,2.5,4.3
2026-09-19,21:37:00,105092,32.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,50.3,50.15,50.45,2,Provisional,-17.5,-34.8
2026-09-19,21:37:00,105096,61.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,61.0,61.0,61.0,2,Provisional,0.0,0.0
2026-09-19,21:37:00,105097,29.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,53.0,53.0,53.0,2,Provisional,-23.4,-44.2
2026-09-19,21:37:00,105098,53.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000009,dow,43,54.5,54.35,54.65,2,Provisional,-0.7,-1.3
2026-09-19,21:37:00,105124,46.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,46.7,46.65,46.75,2,Provisional,0.0,0.0
2026-09-19,21:37:00,105129,43.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,43.5,43.5,43.5,2,Provisional,0.0,0.0
2026-09-19,21:37:00,105134,20.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,39.5,39.5,39.5,2,Provisional,-19.5,-49.4
2026-09-19,21:37:00,105137,23.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999991,dow,43,34.5,28.25,40.75,2,Provisional,-11.5,-33.3
2026-09-19,21:37:00,105190,59.9,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999998,dow,43,63.1,63.05,63.15,2,Provisional,-3.2,-5.1
2026-09-19,21:37:00,105194,60.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000002,dow,43,61.75,61.73,61.77,2,Provisional,-0.85,-1.4
2026-09-19,21:37:00,105198,55.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,58.45,58.08,58.83,2,Provisional,-2.95,-5.0
2026-09-19,21:37:00,105213,29.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,49.1,49.1,49.1,2,Provisional,-19.9,-40.5
2026-09-19,21:37:00,105241,61.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.999999999999999,dow,43,61.0,61.0,61.0,2,Provisional,0.0,0.0
2026-09-19,21:37:00,105243,55.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,56.8,56.65,56.95,2,Provisional,-1.1,-1.9
2026-09-19,21:37:00,1060,63.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,60.65,60.38,60.93,2,Provisional,2.95,4.9
2026-09-19,21:37:00,107214,35.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,36.6,36.4,36.8,2,Provisional,-0.7,-1.9
2026-09-19,21:37:00,107340,59.1,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,62.35,61.98,62.73,2,Provisional,-3.25,-5.2
2026-09-19,21:37:00,107603,31.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,31.75,31.53,31.98,2,Provisional,-0.15,-0.5
2026-09-19,21:37:00,107604,45.9,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,41.85,41.53,42.17,2,Provisional,4.05,9.7
2026-09-19,21:37:00,107607,31.6,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,31.75,31.53,31.98,2,Provisional,-0.15,-0.5
2026-09-19,21:37:00,107772,30.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000004,dow,43,39.85,39.12,40.57,2,Provisional,-9.55,-24.0
2026-09-19,21:37:00,107776,68.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999994,dow,43,67.4,67.4,67.4,2,Provisional,1.3,1.9
2026-09-19,21:37:00,107791,54.5,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999998,dow,43,55.3,55.25,55.35,2,Provisional,-0.8,-1.4
2026-09-19,21:37:00,107801,53.2,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999998,dow,43,52.2,51.35,53.05,2,Provisional,1.0,1.9
2026-09-19,21:37:00,107802,52.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000002,dow,43,50.7,49.85,51.55,2,Provisional,1.8,3.6
2026-09-19,21:37:00,107803,44.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,48.2,48.05,48.35,2,Provisional,-4.0,-8.3
2026-09-19,21:37:00,107805,53.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999993,dow,43,52.75,51.92,53.58,2,Provisional,0.55,1.0
2026-09-19,21:37:00,107806,49.6,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,52.55,52.33,52.77,2,Provisional,-2.95,-5.6
2026-09-19,21:37:00,107817,35.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,36.55,36.38,36.73,2,Provisional,-0.75,-2.1
